C0018923,Hemangiosarcoma
C1863752,Enlarged Vestibular Aqueduct
C1842073,Prolonged Electroretinal Response Suppression
C0085682,Hypophosphatemia
C2750825,NONPAPILLARY RENAL CARCINOMA 1 LOCUS
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma
C3463916,Complement Factor I (C3 inactivator) deficiency
C0032580,Adenomatous Polyposis Coli
C0035258,Restless Legs Syndrome
C0038325,Stevens-Johnson Syndrome
C3658301,Mycoplasma-Induced Stevens-Johnson Syndrome
C0014518,Toxic Epidermal Necrolysis
C1274933,Drug-Induced Stevens Johnson Syndrome
C3658302,Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum
C0043346,Xeroderma Pigmentosum
C0022584,"Keratoderma, Palmoplantar, Diffuse"
C0022596,Palmoplantar Keratosis
C2931923,Hyperkeratosis of the palms and soles and esophageal papillomas
C4552049,"PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC, FOCAL 1"
C3810394,"PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC, FOCAL OR DIFFUSE"
C1838359,"Diffuse palmoplantar keratoderma, Bothnian type"
C1833030,"PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC"
C3489771,Keratosis Palmaris et Plantaris Familiaris
C4551675,"Keratoderma, Palmoplantar"
C2910343,Keratosis follicularis [Darier-White]
C0221199,Abnormal palmar creases
C0010495,Cutis Laxa
C2910342,Inherited keratosis palmaris et plantaris
C2363246,Other specified congenital malformations of skin
C0432333,Abnormal dermatoglyphic pattern
C0085106,Familial benign pemphigus
C0032339,Rothmund-Thomson syndrome
C0265988,Congenital accessory skin tag
C0025268,Multiple Endocrine Neoplasia Type 2a
C4048306,Multiple endocrine neoplasia Type 2
C1833921,Familial medullary thyroid carcinoma
C0349788,Arrhythmogenic Right Ventricular Dysplasia
C0265857,Uhl anomaly
C1862511,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1 (disorder)"
C0236792,Asperger Syndrome
C0206042,Fatal Familial Insomnia
C1563715,Andersen Syndrome
C0524582,Mulibrey Nanism
C0878677,Glycogen Storage Disease Type IIb
C0950122,Frasier Syndrome
C0271097,Usher Syndrome
C2931205,"Usher syndrome, type 1A"
C1568248,"Usher Syndrome, Type III"
C1568249,"Usher Syndrome, Type II"
C0271694,Familial partial lipodystrophy
C1720859,"Familial Partial Lipodystrophy, Type 1"
C1720861,"Familial Partial Lipodystrophy, Type 3"
C1720860,"Familial Partial Lipodystrophy, Type 2"
C1720864,"Sulfatidosis, Juvenile, Austin Type"
C0268263,Multiple Sulfatase Deficiency Disease
C3550693,PEROXISOME BIOGENESIS DISORDER 3B
C0282527,Infantile Refsum Disease (disorder)
C0034960,Refsum Disease
C3540852,"Rickets, X-Linked Hypophosphatemic"
C3536984,"Vitamin D-Resistant Rickets, X-Linked"
C0733682,"Hypophosphatemic Rickets, X-Linked Dominant"
C3536983,Familial Hypophosphatemic Rickets
C1845168,"Hypophosphatemic Rickets, X-Linked Recessive"
C4014321,WHITE SPONGE NEVUS 2
C1721005,"Leukokeratosis, Hereditary Mucosal"
C4011926,WHITE SPONGE NEVUS 1
C0023532,"Leukoplakia, Oral"
C0265334,Pachyonychia Congenita
C1706595,"Pachyonychia Congenita, Jadassohn Lewandowsky Type"
C1721007,"Pachyonychia Congenita, Type 2 (disorder)"
C0268450,Gitelman Syndrome
C0428908,Sinus Node Dysfunction (disorder)
C1721096,Brugada ECG Pattern
C0264893,Nodal rhythm disorder
C1399226,Ectopic rhythm
C1142166,Brugada Syndrome (disorder)
C0348626,Other specified cardiac arrhythmias
C3889979,Periodic Fever Syndrome
C0342731,Deficiency of mevalonate kinase
C4268691,Tumor necrosis factor receptor associated periodic syndrome [TRAPS]
C0031069,Familial Mediterranean Fever
C0398691,Hyperimmunoglobulinemia D
C1959626,Mevalonic Aciduria
C0477971,Other reduction deformities of brain
C0266462,Congenital hypoplasia of part of brain
C0020225,Hydranencephaly
C2362742,Microgyria
C1846171,"Lissencephaly, X-Linked, 2"
C1846172,Hydranencephaly and Abnormal Genitalia
C4551968,"Lissencephaly, X-Linked, 1"
C1879312,Agyria
C3554657,LISSENCEPHALY 5
C2910100,"Arnold-Chiari syndrome, type IV"
C0477972,Other specified congenital malformations of brain
C1848200,"SUBCORTICAL BAND HETEROTOPIA, X-LINKED"
C0266483,Pachygyria
C1848201,Subcortical Band Heterotopia
C0266461,Congenital absence of part of brain
C1969029,Lissencephaly 3
C0431375,Classical Lissencephaly
C3151461,LISSENCEPHALY 4
C1848070,Lissencephaly and agenesis of corpus callosum
C0266463,Lissencephaly
C3809872,PERIVENTRICULAR NODULAR HETEROTOPIA 6
C4551969,Bilateral Periventricular Nodular Heterotopia
C1842563,"Heterotopia, Periventricular, Autosomal Recessive"
C1868720,Periventricular Nodular Heterotopia
C1845235,"Heterotopia, Periventricular, Ehlers-Danlos Variant"
C1848213,"Periventricular Heterotopia, X-Linked"
C0275708,Mycobacterium marinum Infection
C0085568,Buruli Ulcer
C1384583,Congenital absence of germinal epithelium of testes
C0023480,"Leukemia, Myelomonocytic, Chronic"
C0349639,Juvenile Myelomonocytic Leukemia
C0085681,Hyperphosphatemia (disorder)
C1956097,Wolf-Hirschhorn Syndrome
C0796202,Wittwer syndrome
C0796117,Pitt-Rogers-Danks Syndrome
C0268225,Aspartylglucosaminuria
C0268226,Type I Mucolipidosis
C0016788,Fucosidase Deficiency Disease
C2931840,Aspartylglucosamidase (AGA) deficiency
C1257960,Mannosidase Deficiency Diseases
C1860042,Antley-Bixler Syndrome with Disordered Steroidogenesis
C2350233,Antley-Bixler Syndrome Phenotype
C2936791,"Antley-Bixler Syndrome, Autosomal Dominant"
C3150099,ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS
C1861923,Acampomelic Campomelic Dysplasia
C1842462,CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL
C1861922,CAMPOMELIC DYSPLASIA
C0268255,Farber Lipogranulomatosis
C1321489,Torre-Muir syndrome
C1836635,Loeys-Dietz Aortic Aneurysm Syndrome
C2697932,Loeys-Dietz Syndrome
C1851480,Greither Disease
C0265961,Erythrokeratodermia variabilis
C0221348,Hereditary lymphedema and yellow nails
C0587248,Costello syndrome (disorder)
C1968782,"MYOPATHY, CONGENITAL, WITH EXCESS OF MUSCLE SPINDLES"
C0271689,"Insulin Receptor, Defect in"
C0265344,Donohue Syndrome
C0271695,Rabson-Mendenhall Syndrome
C1854540,"Carney Complex, Type 2"
C0406810,Carney Complex
C1837245,Carney Complex Variant
C2607929,"Carney Complex, Type 1"
C0546966,Monilethrix
C0263489,Pili annulati
C0268425,Alstrom Syndrome
C0265962,Ichthyosis linearis circumflexa
C0265313,Weill-Marchesani syndrome
C1869115,"Weill-Marchesani Syndrome, Autosomal Dominant"
C4552002,WEILL-MARCHESANI SYNDROME 1
C2750787,Weill-Marchesani-Like Syndrome
C1869114,"Weill-Marchesani Syndrome, Autosomal Recessive"
C3553785,WEILL-MARCHESANI SYNDROME 3
C0574083,3-Methylglutaconic aciduria type 2
C0221043,Liddle Syndrome
C0004775,Bartter Disease
C0015230,Exanthema
C0302859,Euthyroid Goiter
C0015231,Exanthema Subitum
C1812609,Variola major
C0037354,Smallpox
C0023493,Adult T-Cell Lymphoma/Leukemia
C1299614,Non-insulin-dependent diabetes mellitus with unspecified complications
C0342276,Maturity onset diabetes mellitus in young
C0242287,Isaacs syndrome
C4083251,"Trichothiodystrophy, Nonphotosensitive 1"
C3495483,Amish Brittle Hair Brain Syndrome
C1313961,Trichorrhexis nodosa syndrome
C1838230,"SPINAL MUSCULAR ATROPHY, TYPE IV"
C0393538,"Muscular Atrophy, Spinal, Type II"
C2931358,"Muscular atrophy, spinal, infantile chronic form"
C1306122,Oguchi disease
C0339535,"Night blindness, congenital stationary"
C0004608,Retinopathy background
C0004606,Nonproliferative diabetic retinopathy
C1851402,Exudative vitreoretinopathy 1
C0339539,Familial Exudative Vitreoretinopathy
C0392475,Roberts-SC phocomelia syndrome
C1858338,"Neuropathy, hereditary motor and sensory, Okinawa type"
C0270914,Hereditary Motor and Sensory-Neuropathy Type II
C0392553,Hereditary peripheral neuropathy
C0011195,Dejerine-Sottas Disease (disorder)
C4082197,Charcot-Marie-Tooth disease type 4
C4551551,X-linked hereditary motor and sensory neuropathy
C1844020,"HETEROTAXY, VISCERAL, 1, X-LINKED"
C1415817,"HETEROTAXY, VISCERAL, 2, AUTOSOMAL"
C3151057,"HETEROTAXY, VISCERAL, 4, AUTOSOMAL"
C3151867,"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 1, X-LINKED"
C3178805,Heterotaxy Syndrome
C3553676,"HETEROTAXY, VISCERAL, 6, AUTOSOMAL"
C1853444,"Heterotaxy, Visceral, 3, Autosomal"
C3151055,"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE"
C1845028,"ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA"
C2937300,Congenital hereditary muscular dystrophy
C0026850,Muscular Dystrophy
C0699743,Congenital muscular dystrophy (disorder)
C0410179,Ullrich congenital muscular dystrophy 1
C0410174,Fukuyama Type Congenital Muscular Dystrophy
C0265221,Walker-Warburg congenital muscular dystrophy
C3807541,MACROCEPHALY AND EPILEPTIC ENCEPHALOPATHY
C0238111,Lennox-Gastaut syndrome
C0037769,West Syndrome
C0452138,"Sensorineural hearing loss, bilateral"
C1846647,"DEAFNESS, AUTOSOMAL RECESSIVE (disorder)"
C1844677,"DEAFNESS, X-LINKED 1 (disorder)"
C1853296,"SPONDYLOCOSTAL DYSOSTOSIS, AUTOSOMAL RECESSIVE 3"
C3150942,"SPONDYLOCOSTAL DYSOSTOSIS 4, AUTOSOMAL RECESSIVE"
C4083048,SPONDYLOCOSTAL DYSOSTOSIS 5
C4274761,Autosomal dominant spondylocostal dysostosis
C1837549,"SPONDYLOCOSTAL DYSOSTOSIS, AUTOSOMAL RECESSIVE 2"
C0265343,Jarcho-Levin syndrome
C0175693,Russell-Silver syndrome
C0175701,Aarskog syndrome
C0032897,Prader-Willi Syndrome
C0175691,Dubowitz syndrome
C0009207,Cockayne Syndrome
C0265202,Seckel syndrome
C0028326,Noonan Syndrome
C0270972,Cornelia De Lange Syndrome
C0347915,Congenital malformation syndromes associated with short stature
C0265205,Robinow Syndrome
C0154860,Hereditary retinal dystrophy
C3489532,Cone-Rod Dystrophy 2
C2746066,Combined D-2- and L-2-hydroxyglutaric aciduria
C3888081,L-2-hydroxyglutaric acidemia
C1855995,L-2-HYDROXYGLUTARIC ACIDURIA
C2939174,Medullary cystic disease
C4551559,Senior-Loken Syndrome 1
C1836517,Senior-Loken Syndrome 5
C1846980,Senior-Loken Syndrome 3
C3150877,SENIOR-LOKEN SYNDROME 7
C1857779,SENIOR-LOKEN SYNDROME 6
C0687120,Nephronophthisis
C1846979,SENIOR-LOKEN SYNDROME 4
C0403553,Renal dysplasia and retinal aplasia (disorder)
C0022681,Medullary sponge kidney
C0432235,CRANIOECTODERMAL DYSPLASIA 1
C3150874,CRANIOECTODERMAL DYSPLASIA 2
C3150833,OCCULT MACULAR DYSTROPHY
C3150754,GLYCOGEN STORAGE DISEASE XV
C1313885,Hereditary edema of legs
C1704423,Milroy Disease
C0040953,Trichotillomania
C0751951,Central Core Myopathy (disorder)
C3150415,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1"
C0270960,Congenital myopathy (disorder)
C2875316,Myotubular (centronuclear) myopathy
C4015184,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 12"
C3150416,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 2"
C0270962,Multi-core congenital myopathy
C0206157,"Myopathies, Nemaline"
C3809221,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 14"
C3150412,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 3"
C2751052,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION), TYPE B, 4"
C0546264,Congenital Fiber Type Disproportion
C0021390,Inflammatory Bowel Diseases
C0027947,Neutropenia
C0001824,Agranulocytosis
C1853118,Severe congenital neutropenia
C4290088,decreased absolute neurophile count (ANC)
C1835492,"TOOTH AGENESIS, SELECTIVE, 4 (disorder)"
C1970117,"Tooth Agenesis, Selective, With Orofacial Cleft"
C1970118,Hypodontia Oligodontia with Orofacial Cleft
C0399352,Developmental absence of tooth
C1835493,"Succedaneous Teeth, Agenesis Of"
C4082304,Oligodontia
C1858210,"Tooth Agenesis, Selective, 5"
C0020608,Hypodontia
C1865092,"TOOTH AGENESIS, SELECTIVE, 2 (disorder)"
C3489529,"Tooth Agenesis, Familial"
C1970757,"Tooth Agenesis, Selective, X-Linked, 1"
C1970291,"Tooth Agenesis, Selective, 3"
C0432195,Short rib dysplasia
C2910340,Asphyxiating thoracic dysplasia [Jeune]
C0265275,Jeune thoracic dystrophy
C2751316,"Glaucoma 3, Primary Congenital, D"
C0152073,Taenia saginata infection
C0036329,Schistosomiasis japonica
C0242497,Intestinal schistosomiasis
C0036323,Schistosomiasis
C0036330,Schistosomiasis mansoni
C1838099,ABCD syndrome
C1863204,ADULT SYNDROME
C0271742,Glucocorticoid deficiency with achalasia
C0265559,Acheiropodia
C1843096,Acrocapitofemoral Dysplasia
C0221036,Acrodermatitis enteropathica
C0265971,Acrokeratosis Verruciformis of Hopf
C0030470,Paranasal Sinus Neoplasms
C1858496,"Advanced Sleep-Phase Syndrome, Familial"
C0477365,Other specified degenerative diseases of nervous system
C3539013,AICARDI-GOUTIERES SYNDROME 6
C0393591,AICARDI-GOUTIERES SYNDROME
C0796126,AICARDI-GOUTIERES SYNDROME 1
C3150315,"AICARDI-GOUTIERES SYNDROME 1, AUTOSOMAL DOMINANT"
C1835916,AICARDI-GOUTIERES SYNDROME 3
C3489724,Aicardi-Goutieres Syndrome 2
C2749659,AICARDI-GOUTIERES SYNDROME 5 (disorder)
C1835912,AICARDI-GOUTIERES SYNDROME 4
C3888244,AICARDI-GOUTIERES SYNDROME 7
C0268505,"Ocular albinism, type II"
C0795889,Allan-Herndon-Dudley syndrome (AHDS)
C0078918,"Albinism, Oculocutaneous"
C0001916,Albinism
C0342684,"Ocular albinism, type I"
C0078917,"Albinism, Ocular"
C1859877,Alopecia universalis congenita
C0338488,Alternating hemiplegia of childhood
C3549447,ALTERNATING HEMIPLEGIA OF CHILDHOOD 1
C3553788,ALTERNATING HEMIPLEGIA OF CHILDHOOD 2
C0027765,nervous system disorder
C0268389,"Amyloidosis, familial visceral"
C2751493,"Cerebral Amyloid Angiopathy, Gsn-Related"
C1622345,Meretoja syndrome
C1628319,Lattice corneal dystrophy Type II
C3151470,"AMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED"
C2751492,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED"
C3151471,"AMYLOID CARDIOMYOPATHY, TRANSTHYRETIN-RELATED"
C0268398,Familial lichen amyloidosis
C4551501,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1"
C3151404,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 2"
C0268397,"Amyloidosis, Primary Cutaneous"
C4551965,ANAUXETIC DYSPLASIA 1
C1846796,Anauxetic dysplasia
C1849387,"Rh-Null, Regulator Type"
C0272052,Rh Deficiency Syndrome
C3806153,"ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1"
C3808920,"ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 2"
C1859728,"Coronary Sclerosis, Medial, of Infancy"
C0264955,Idiopathic arterial calcification of infancy
C4551985,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1"
C3276161,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2"
C1859727,Arterial calcification of infancy
C1859726,ARTERIAL TORTUOSITY SYNDROME
C0220662,"ARTHROGRYPOSIS, DISTAL, TYPE 1"
C0265213,Distal arthrogryposis syndrome
C0265226,Hecht syndrome (disorder)
C0220666,"ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA"
C0265224,Freeman-Sheldon syndrome
C3554415,Distal arthrogryposis type 5D
C1861238,"ARTHROGRYPOSIS, DISTAL, TYPE 10"
C0220668,Congenital contractural arachnodactyly
C1862471,Arthrogryposis-like hand anomaly and sensorineural deafness
C1862472,Oculomelic amyoplasia
C3280526,"ARTHROGRYPOSIS, DISTAL, TYPE 1B"
C1834523,"ARTHROGRYPOSIS, DISTAL, TYPE 2B"
C1836756,"ARTHROGRYPOSIS, DISTAL, TYPE 4 (disorder)"
C1852597,"Arthrogryposis, distal, type 2E"
C0796028,"ATAXIA, FATAL X-LINKED, WITH DEAFNESS AND LOSS OF VISION"
C1850554,Atelosteogenesis type 2
C0265283,"Atelosteogenesis, type 1"
C3668942,Atelosteogenesis Type 3
C1850555,De La Chapelle Dysplasia
C0521802,Congenital atransferrinemia
C3277918,TRANSFERRIN SERUM LEVEL QUANTITATIVE TRAIT LOCUS 1
C1837014,"Atrial Fibrillation, Familial, 3"
C1843687,"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)"
C3151431,"ATRIAL FIBRILLATION, FAMILIAL, 9"
C3809311,"ATRIAL FIBRILLATION, FAMILIAL, 13"
C4014269,"ATRIAL FIBRILLATION, FAMILIAL, 15"
C3279693,"ATRIAL FIBRILLATION, FAMILIAL, 11"
C3279695,"ATRIAL FIBRILLATION, FAMILIAL, 12"
C2677106,"Atrial Fibrillation, Familial, 7"
C3151464,"ATRIAL FIBRILLATION, FAMILIAL, 10"
C3809312,"ATRIAL FIBRILLATION, FAMILIAL, 14"
C2677294,"Atrial Fibrillation, Familial, 6"
C1862394,"Atrial Fibrillation, Familial, 4"
C0221215,Common atrioventricular canal
C3280781,ATRIOVENTRICULAR SEPTAL DEFECT 4
C3275750,ATRIOVENTRICULAR SEPTAL DEFECT 3
C0014116,Endocardial Cushion Defects
C1389018,Atrioventricular Septal Defect
C1389016,ATRIOVENTRICULAR CANAL DEFECT
C3280939,ATRIOVENTRICULAR SEPTAL DEFECT 5
C0265308,Baller-Gerold syndrome
C1855794,Bamforth syndrome
C4552078,PSEUDO-TORCH SYNDROME 1
C3489725,Pseudo-TORCH syndrome
C0265326,Bannayan-Riley-Ruvalcaba Syndrome
C1834711,CEREBELLOPARENCHYMAL DISORDER VI
C1866398,Proteus-Like Syndrome (disorder)
C0018553,"Hamartoma Syndrome, Multiple"
C1959582,PTEN Hamartoma Tumor Syndrome
C0391826,Lhermitte-Duclos disease
C0752166,Bardet-Biedl Syndrome
C0869083,"Other specified congenital malformation syndromes, not elsewhere classified in ICD10CM"
C1834712,Cerebellar Granule Cell Hypertrophy and Megalencephaly
C1866376,Pten Hamartoma Tumor Syndrome With Granular Cell Tumor
C0266004,"Knuckle pads, leuconychia and sensorineural deafness"
C1843807,"Basal ganglia disease, biotin-responsive"
C1852406,Cutis Gyrata Syndrome of Beare And Stevenson
C2745945,Juvenile-Onset Vitelliform Macular Dystrophy
C4015343,"MACULAR DYSTROPHY, VITELLIFORM, 5"
C4015342,"MACULAR DYSTROPHY, VITELLIFORM, 4"
C1842914,Adult-Onset Vitelliform Macular Dystrophy
C2675055,"BEST VITELLIFORM MACULAR DYSTROPHY, MULTIFOCAL (disorder)"
C0339510,Vitelliform Macular Dystrophy
C1835178,"MACULAR DYSTROPHY, ATYPICAL VITELLIFORM"
C4551953,"MACULAR DYSTROPHY, VITELLIFORM, 1"
C3888198,"BESTROPHINOPATHY, AUTOSOMAL RECESSIVE"
C2678493,BESTROPHINOPATHY
C1834674,BETHLEM MYOPATHY 1
C1859486,BIETTI CRYSTALLINE CORNEORETINAL DYSTROPHY
C0394005,Ataxic cerebral palsy
C2676770,Birk-Barel Mental Retardation Dysmorphism Syndrome
C0346010,Multiple fibrofolliculomas
C0266006,Pili torti-deafness syndrome
C1861303,"SYNOVITIS, GRANULOMATOUS, WITH UVEITIS AND CRANIAL NEUROPATHIES (disorder)"
C0339537,Cone monochromatism
C3887937,"CONE DYSTROPHY 5, X-LINKED"
C0432201,Boomerang dysplasia
C0265339,Borjeson-Forssman-Lehmann syndrome
C1832216,Bosley-Salih-Alorainy Syndrome
C1832215,Athabaskan brainstem dysgenesis
C1843816,Bothnia Retinal Dystrophy
C1859405,Bowen-Conradi syndrome
C4310807,BRACHYDACTYLY-SYNDACTYLY-OLIGODACTYLY SYNDROME
C1853137,BRACHYDACTYLY-SYNDACTYLY SYNDROME
C0432228,Brachyolmia
C0432227,Brachyolmia Type 3
C3159322,"SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE"
C0376524,Branchio-Oculo-Facial Syndrome
C1832918,Brody myopathy
C1857941,Brooke-Spiegler syndrome
C0796274,Brown-Vialetto-Van Laere Syndrome 1
C0008495,Chorioamnionitis
C1839874,Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis
C0878681,Dent's disease
C1848336,Dent disease 1
C1845167,Dent Disease 2
C0033141,"Cardiomyopathies, Primary"
C0036529,"Myocardial Diseases, Secondary"
C0878544,Cardiomyopathies
C0393706,Early infantile epileptic encephalopathy with suppression bursts
C0268600,3-methylcrotonyl CoA carboxylase 1 deficiency
C1858583,"HEMOSIDEROSIS, SYSTEMIC, DUE TO ACERULOPLASMINEMIA"
C0878682,Ceruloplasmin deficiency
C2675179,Arginine:Glycine Amidinotransferase Deficiency
C1858424,"Cardioencephalomyopathy, Fatal Infantile, due to Cytochrome C Oxidase Deficiency"
C1848561,Methylmalonic acidemia with homocystinuria
C4693974,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblC TYPE, DIGENIC"
C1848553,"Homocystinuria, CblD Type, Variant 1"
C1848554,"Methylmalonic Aciduria, CblD Type, Variant 2"
C1848552,"Methylmalonic Aciduria and Homocystinuria, CblD Type"
C1848578,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblF TYPE (disorder)"
C2751584,Neurodegeneration Due To Cerebral Folate Transport Deficiency
C0268540,HHH syndrome
C1866174,Phosphoglycerate Dehydrogenase Deficiency
C1970253,Phosphoserine Aminotransferase Deficiency
C1291463,Deficiency of phosphoserine phosphatase
C0268487,Tyrosine Transaminase Deficiency Disease
C0268490,"Tyrosinemia, Type I"
C0268623,"Tyrosinemia, Type III"
C0268238,Triglyceride storage disease with ichthyosis
C1394891,Intrinsic Factor Deficiency
C0236970,Alcohol-Induced Disorders
C0001973,"Alcoholic Intoxication, Chronic"
C2751719,"ALCOHOL DEPENDENCE, PROTECTION AGAINST"
C0236664,Alcohol-Related Disorders
C3887915,"AERODIGESTIVE TRACT CANCER, SQUAMOUS CELL, ALCOHOL-RELATED, PROTECTION AGAINST"
C0037369,Smoking
C0028043,Nicotine Dependence
C0079744,Diffuse Large B-Cell Lymphoma
C1332201,Adult Diffuse Large B-Cell Lymphoma
C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
C0024419,Waldenstrom Macroglobulinemia
C1835192,"MACROGLOBULINEMIA, WALDENSTROM, SUSCEPTIBILITY TO, 1"
C2936755,Familial Waldenstrom's Macroglobulinaemia
C0079774,Peripheral T-Cell Lymphoma
C1837728,AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder)
C0007758,Cerebellar Ataxia
C1859598,"ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA"
C1853761,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1"
C0796074,MOHR-TRANEBJAERG SYNDROME
C1839564,Jensen syndrome
C2931689,Dystrophia myotonica 2
C0221055,Paramyotonia Congenita (disorder)
C2931826,Potassium aggravated myotonia
C0752355,Myotonia Fluctuans (disorder)
C4521481,Pseudomyotonia (finding)
C0553604,Myotonic Disorders
C1839615,X-linked myopathy with excessive autophagy
C0268126,Adenylosuccinate lyase deficiency (disorder)
C1859722,"Arthrogryposis, renal dysfunction, and cholestasis 1"
C0393576,Chorea Acanthocytosis Syndrome
C4757950,Isolated ATP synthase deficiency
C3276276,"MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1"
C0887850,"Polycystic Kidney, Type 1 Autosomal Dominant Disease"
C3149711,"PHEOCHROMOCYTOMA, SUSCEPTIBILITY TO"
C0031511,Pheochromocytoma
C1970107,"ATAXIA, SPASTIC, 1, AUTOSOMAL DOMINANT"
C0030421,Paraganglioma
C1854336,PARAGANGLIOMAS 3
C1866552,PARAGANGLIOMAS 2 (disorder)
C0007279,Carotid Body Paraganglioma
C1868633,Paragangliomas with Sensorineural Hearing Loss
C3279992,PARAGANGLIOMAS 5
C0017671,Glomus Jugulare Tumor
C1861848,PARAGANGLIOMAS 4
C0030422,Extra-Adrenal Paraganglioma
C1849453,Rapadilino syndrome
C0432194,Schneckenbecken dysplasia
C1845810,"MENTAL RETARDATION, X-LINKED 42"
